,Algaater
0,-45
1,-13
2,4
3,-60
4,-35
5,-31
6,-25
7,7
8,3
9,-41
10,-27
11,-15
12,-43
13,-67
14,-42
15,6
16,-24
17,-44
18,-15
19,-39
20,-13
21,-49
22,-5
23,-33
24,-17
25,-37
26,-42
27,-18
28,-38
29,-6
30,-13
31,-33
32,-52
33,0
34,-24
35,-44
36,-7
37,-35
38,-27
39,-15
40,-46
41,-14
42,-37
43,-17
44,-44
45,-4
46,-49
47,-21
48,-13
49,-33
50,-54
51,-18
52,-22
53,-34
54,-14
55,-58
56,-10
57,-30
58,-15
59,-51
60,-49
61,-21
62,-38
63,-46
64,-33
65,-29
66,-37
67,-9
68,-41
69,-29
70,-26
71,-42
72,-4
73,-52
74,-32
75,-16
76,-16
77,-40
78,-56
79,-36
80,-22
81,-34
82,-29
83,-29
84,-37
85,-45
86,9
87,-35
88,-20
89,-28
90,-15
91,-39
92,-44
93,8
94,-9
95,-37
96,-22
97,-46
98,-14
99,-30
