,SMAlegAATr
0,-44
1,-36
2,-58
3,-22
4,-26
5,-34
6,-36
7,-40
8,-69
9,-17
10,-67
11,-47
12,-68
13,-56
14,-52
15,-76
16,-17
17,-37
18,-40
19,-68
20,-85
21,-41
22,-29
23,-37
24,-91
25,-91
26,-58
27,-30
28,-3
29,-35
30,-54
31,-30
32,-24
33,-52
34,-76
35,-44
36,-39
37,-39
38,-46
39,-26
40,-75
41,-75
42,-94
43,-66
44,-64
45,-52
46,-48
47,-64
48,-50
49,-58
50,-37
51,-13
52,-72
53,-84
54,-56
55,-64
56,-45
57,-17
58,-65
59,-61
60,-14
61,-18
62,-64
63,-76
64,-53
65,-21
66,-44
67,-20
68,-21
69,-29
70,-103
71,-63
72,-48
73,-40
74,-57
75,-89
76,-76
77,-112
78,-19
79,-51
80,-57
81,-53
82,-82
83,-78
84,-35
85,-59
86,-51
87,-43
88,-10
89,-50
90,-86
91,-98
92,-29
93,-65
94,-58
95,-26
96,-57
97,-69
98,-61
99,-41
