,CoopPunishOpp,BullyOpp,BullyPunishOpp
0,50,-70,-70
1,50,-54,-54
2,50,-54,-54
3,50,-70,-74
4,50,-54,-54
5,50,-70,-70
6,50,-54,-54
7,50,-70,-70
8,50,-70,-70
9,50,-54,-54
10,50,-54,-54
11,50,-70,-70
12,50,-70,-70
13,50,-54,-54
14,50,-70,-74
15,50,-70,-70
16,50,-66,-70
17,50,-66,-70
18,50,-66,-70
19,50,-70,-70
20,50,-74,-70
21,50,-70,-70
22,50,-70,-70
23,50,-70,-70
24,50,-54,-54
25,50,-70,-70
26,50,-54,-54
27,50,-54,-54
28,50,-70,-74
29,50,-54,-54
30,50,-54,-54
31,50,-54,-54
32,50,-54,-54
33,50,-54,-54
34,50,-54,-54
35,50,-70,-74
36,50,-54,-54
37,50,-54,-54
38,50,-70,-74
39,50,-54,-54
40,50,-70,-74
41,50,-66,-74
42,50,-54,-54
43,50,-74,-74
44,50,-54,-54
45,50,-70,-70
46,50,-54,-54
47,50,-54,-54
48,50,-54,-54
49,50,-70,-70
