,SMAlegAATr
0,70
1,47
2,47
3,30
4,78
5,80
6,59
7,72
8,93
9,62
10,61
11,77
12,79
13,60
14,78
15,79
16,57
17,44
18,42
19,88
20,61
21,50
22,82
23,91
24,85
25,76
26,90
27,92
28,50
29,92
30,82
31,53
32,74
33,50
34,63
35,92
36,63
37,63
38,63
39,60
40,46
41,81
42,50
43,40
44,53
45,89
46,59
47,88
48,72
49,49
