,Algaater
0,50
1,50
2,50
3,-2
4,26
5,50
6,26
7,26
8,26
9,-2
10,50
11,50
12,50
13,6
14,22
15,50
16,26
17,26
18,6
19,50
20,50
21,-2
22,14
23,50
24,50
25,50
26,50
27,50
28,22
29,50
30,50
31,50
32,50
33,26
34,26
35,6
36,-2
37,50
38,50
39,6
40,22
41,26
42,50
43,50
44,6
45,22
46,26
47,50
48,22
49,-2
50,-62
51,-62
52,-62
53,-66
54,-66
55,-62
56,-62
57,-62
58,-66
59,-66
60,-62
61,-62
62,-66
63,-62
64,-66
65,-62
66,-66
67,-66
68,-66
69,-62
70,-62
71,-66
72,-66
73,-62
74,-66
75,-62
76,-62
77,-62
78,-66
79,-66
80,-66
81,-62
82,-62
83,-62
84,-66
85,-66
86,-66
87,-62
88,-62
89,-66
90,-66
91,-66
92,-62
93,-62
94,-66
95,-66
96,-66
97,-62
98,-62
99,-62
100,-62
101,-62
102,-62
103,-66
104,-66
105,-66
106,-66
107,-62
108,-66
109,-66
110,-62
111,-62
112,-62
113,-66
114,-66
115,-62
116,-66
117,-66
118,-66
119,-62
120,-62
121,-66
122,-66
123,-66
124,-62
125,-62
126,-62
127,-62
128,-66
129,-62
130,-62
131,-62
132,-62
133,-66
134,-66
135,-62
136,-66
137,-62
138,-62
139,-62
140,-66
141,-66
142,-62
143,-66
144,-66
145,-66
146,-66
147,-62
148,-62
149,-66
