,Algaater
0,-36
1,-62
2,34
3,27
4,-23
5,-107
6,-76
7,-58
8,-41
9,-54
10,-93
11,-106
12,18
13,48
14,-98
15,-54
16,23
17,-70
18,-12
19,23
20,28
21,-38
22,-52
23,-100
24,-101
25,-48
26,-102
27,-51
28,-42
29,48
30,-100
31,-52
32,-88
33,-48
34,-13
35,-59
36,38
37,-100
38,-70
39,-110
40,-98
41,-37
42,-104
43,-116
44,-96
45,12
46,-53
47,-11
48,-67
49,-78
