,SMAlegAATr
0,9
1,-34
2,-31
3,-75
4,-39
5,-107
6,1
7,-26
8,-8
9,-86
10,-62
11,-57
12,4
13,-62
14,-16
15,-46
16,-9
17,28
18,-34
19,-71
20,-61
21,-134
22,-79
23,-95
24,-45
25,-29
26,-19
27,-52
28,-61
29,-116
30,-5
31,-42
32,8
33,15
34,-59
35,-55
36,-48
37,-24
38,-62
39,14
40,-24
41,-4
42,-57
43,-102
44,-16
45,-38
46,-47
47,-60
48,-23
49,-67
