,BBL
0,7
1,-38
2,-10
3,-8
4,-5
5,-25
6,-8
7,-23
8,-16
9,-9
10,-31
11,-6
12,-27
13,-16
14,-42
15,-46
16,-42
17,-32
18,-38
19,-2
20,-7
21,-28
22,-42
23,-12
24,-31
25,-20
26,-18
27,-16
28,-10
29,-20
30,2
31,-41
32,-44
33,-5
34,19
35,22
36,-34
37,-10
38,-28
39,-35
40,9
41,-17
42,-37
43,-28
44,-45
45,-21
46,-6
47,-25
48,-11
49,-27
