,SMAlegAATr
0,-101
1,-64
2,-90
3,-101
4,-20
5,-52
6,-37
7,-112
8,-49
9,-114
10,-12
11,-62
12,-30
13,-25
14,-31
15,-84
16,-35
17,-78
18,-66
19,-30
20,-43
21,-32
22,-42
23,-69
24,-35
25,-29
26,-29
27,-40
28,-28
29,-118
30,-95
31,-36
32,-65
33,-27
34,-28
35,-30
36,-51
37,-170
38,-110
39,-129
40,-60
41,-40
42,-58
43,-74
44,-41
45,-56
46,-31
47,-53
48,-1
49,-83
