,S++
0,-84
1,-26
2,30
3,-1
4,1
5,21
6,8
7,14
8,19
9,14
10,39
11,38
12,-14
13,36
14,54
15,-6
16,-9
17,14
18,4
19,-9
20,20
21,18
22,0
23,28
24,19
25,0
26,46
27,9
28,6
29,36
30,16
31,8
32,28
33,0
34,11
35,-99
36,38
37,16
38,2
39,30
40,30
41,11
42,20
43,8
44,36
45,0
46,7
47,-3
48,-15
49,-86
