,SMAlegAATr
0,-10
1,-2
2,-113
3,-113
4,-45
5,-1
6,-36
7,-68
8,-16
9,-24
10,-43
11,-51
12,-58
13,-86
14,-76
15,-92
16,-63
17,-59
18,-98
19,-98
20,-61
21,-77
22,-118
23,-114
24,-50
25,-82
26,-18
27,-46
28,-61
29,-25
30,-59
31,-59
32,-16
33,-24
34,-70
35,-74
36,-77
37,-85
38,-31
39,-63
40,-41
41,-17
42,-54
43,-42
44,-53
45,-57
46,-64
47,-40
48,-94
49,-30
50,-52
51,-56
52,-32
53,-32
54,-12
55,-32
56,-25
57,-49
58,-23
59,-35
60,-25
61,-33
62,-43
63,-51
64,-56
65,-92
66,-104
67,-120
68,-52
69,-60
70,-72
71,-8
72,-84
73,-80
74,-65
75,-49
76,-60
77,-20
78,-94
79,-102
80,-62
81,-74
82,-51
83,-35
84,-66
85,-54
86,-76
87,-72
88,-90
89,-90
90,-84
91,-68
92,-87
93,-103
94,-66
95,-50
96,-78
97,-70
98,-50
99,-66
