,Algaater
0,50
1,50
2,50
3,50
4,50
5,50
6,50
7,50
8,50
9,50
10,50
11,50
12,50
13,50
14,50
15,50
16,50
17,50
18,50
19,50
20,50
21,50
22,50
23,50
24,50
25,50
26,50
27,50
28,50
29,50
30,50
31,50
32,50
33,50
34,50
35,50
36,50
37,50
38,50
39,50
40,50
41,50
42,50
43,50
44,50
45,50
46,50
47,50
48,50
49,50
50,-70
51,-54
52,-54
53,-70
54,-54
55,-70
56,-54
57,-70
58,-70
59,-54
60,-54
61,-70
62,-70
63,-54
64,-70
65,-70
66,-66
67,-66
68,-66
69,-70
70,-74
71,-70
72,-70
73,-70
74,-54
75,-70
76,-54
77,-54
78,-70
79,-54
80,-54
81,-54
82,-54
83,-54
84,-54
85,-70
86,-54
87,-54
88,-70
89,-54
90,-70
91,-66
92,-54
93,-74
94,-54
95,-70
96,-54
97,-54
98,-54
99,-70
100,-70
101,-54
102,-54
103,-74
104,-54
105,-70
106,-54
107,-70
108,-70
109,-54
110,-54
111,-70
112,-70
113,-54
114,-74
115,-70
116,-70
117,-70
118,-70
119,-70
120,-70
121,-70
122,-70
123,-70
124,-54
125,-70
126,-54
127,-54
128,-74
129,-54
130,-54
131,-54
132,-54
133,-54
134,-54
135,-74
136,-54
137,-54
138,-74
139,-54
140,-74
141,-74
142,-54
143,-74
144,-54
145,-70
146,-54
147,-54
148,-54
149,-70
