,Algaater
0,-23
1,50
2,50
3,50
4,-26
5,50
6,-22
7,50
8,-26
9,-26
10,50
11,50
12,-26
13,-26
14,-12
15,-26
16,50
17,-28
18,-22
19,50
20,-26
21,6
22,50
23,50
24,50
25,50
26,50
27,-26
28,50
29,50
30,-24
31,50
32,-26
33,50
34,10
35,10
36,10
37,50
38,50
39,-17
40,50
41,50
42,-32
43,50
44,50
45,-23
46,-26
47,-34
48,50
49,-26
50,-78
51,-74
52,-74
53,-74
54,-74
55,-74
56,-78
57,-74
58,-78
59,-78
60,-78
61,-74
62,-78
63,-78
64,-78
65,-78
66,-74
67,-78
68,-78
69,-74
70,-78
71,-78
72,-78
73,-74
74,-74
75,-78
76,-74
77,-78
78,-70
79,-74
80,-74
81,-78
82,-78
83,-74
84,-78
85,-74
86,-78
87,-74
88,-74
89,-78
90,-78
91,-78
92,-78
93,-74
94,-74
95,-78
96,-74
97,-78
98,-78
99,-78
100,-78
101,-78
102,-74
103,-78
104,-78
105,-78
106,-78
107,-78
108,-78
109,-78
110,-74
111,-70
112,-78
113,-78
114,-78
115,-78
116,-74
117,-78
118,-78
119,-74
120,-78
121,-78
122,-70
123,-78
124,-70
125,-74
126,-74
127,-78
128,-74
129,-78
130,-78
131,-78
132,-74
133,-70
134,-78
135,-78
136,-78
137,-74
138,-78
139,-78
140,-78
141,-74
142,-78
143,-70
144,-74
145,-78
146,-78
147,-78
148,-78
149,-78
