,SMAlegAATr
0,76
1,68
2,66
3,64
4,72
5,66
6,66
7,68
8,64
9,70
10,74
11,72
12,62
13,70
14,70
15,78
16,68
17,68
18,66
19,70
20,60
21,76
22,74
23,70
24,74
25,64
26,70
27,74
28,76
29,56
30,72
31,66
32,64
33,60
34,74
35,62
36,74
37,60
38,62
39,62
40,62
41,56
42,76
43,76
44,76
45,78
46,72
47,68
48,72
49,64
