,SMAlegAATr
0,68
1,68
2,70
3,70
4,58
5,58
6,68
7,68
8,64
9,64
10,54
11,54
12,58
13,58
14,54
15,54
16,56
17,56
18,66
19,66
20,56
21,56
22,68
23,68
24,60
25,60
26,62
27,62
28,60
29,60
30,62
31,62
32,66
33,66
34,76
35,76
36,62
37,62
38,58
39,58
40,62
41,62
42,58
43,58
44,60
45,60
46,60
47,60
48,74
49,74
50,60
51,60
52,50
53,50
54,64
55,64
56,80
57,80
58,64
59,64
60,68
61,68
62,66
63,66
64,68
65,68
66,64
67,64
68,64
69,64
70,66
71,66
72,64
73,64
74,60
75,60
76,60
77,60
78,64
79,64
80,72
81,72
82,74
83,74
84,68
85,68
86,64
87,64
88,64
89,64
90,66
91,66
92,62
93,62
94,64
95,64
96,58
97,58
98,74
99,74
