,BBL
0,76
1,68
2,72
3,76
4,56
5,56
6,64
7,76
8,76
9,44
10,72
11,68
12,82
13,72
14,60
15,72
16,52
17,70
18,64
19,46
20,58
21,62
22,62
23,62
24,56
25,70
26,88
27,72
28,74
29,66
30,60
31,74
32,66
33,68
34,62
35,60
36,56
37,62
38,60
39,58
40,56
41,60
42,62
43,68
44,68
45,60
46,68
47,70
48,70
49,60
