,SMAlegAATr
0,68
1,70
2,70
3,76
4,74
5,76
6,64
7,70
8,72
9,58
10,72
11,70
12,66
13,58
14,50
15,54
16,70
17,58
18,68
19,56
20,54
21,68
22,70
23,68
24,74
25,70
26,66
27,56
28,72
29,70
30,66
31,74
32,66
33,78
34,66
35,76
36,70
37,70
38,62
39,66
40,80
41,66
42,68
43,60
44,82
45,74
46,60
47,76
48,70
49,60
