,SMAlegAATr
0,64
1,70
2,76
3,64
4,72
5,44
6,54
7,52
8,48
9,68
10,80
11,66
12,60
13,70
14,58
15,48
16,80
17,58
18,72
19,68
20,60
21,66
22,54
23,64
24,62
25,66
26,52
27,60
28,66
29,66
30,70
31,60
32,76
33,70
34,64
35,68
36,78
37,62
38,66
39,64
40,64
41,66
42,54
43,50
44,56
45,72
46,54
47,72
48,72
49,56
