,BBL
0,80
1,72
2,98
3,68
4,80
5,76
6,74
7,76
8,76
9,74
10,60
11,76
12,76
13,70
14,90
15,82
16,78
17,68
18,76
19,58
20,84
21,68
22,80
23,82
24,70
25,80
26,72
27,72
28,96
29,68
30,84
31,74
32,86
33,60
34,82
35,80
36,72
37,70
38,76
39,78
40,72
41,74
42,90
43,62
44,72
45,72
46,68
47,72
48,66
49,64
