,SMAlegAATr
0,126
1,128
2,124
3,124
4,124
5,118
6,120
7,122
8,120
9,128
10,116
11,112
12,118
13,124
14,120
15,128
16,120
17,120
18,120
19,108
20,118
21,122
22,116
23,112
24,116
25,124
26,122
27,120
28,132
29,122
30,124
31,116
32,124
33,118
34,118
35,120
36,124
37,120
38,118
39,124
40,122
41,120
42,128
43,132
44,110
45,124
46,124
47,118
48,120
49,116
50,-112
51,-94
52,-98
53,-82
54,-78
55,-108
56,-110
57,-90
58,-86
59,-86
60,-102
61,-102
62,-90
63,-102
64,-70
65,-86
66,-112
67,-98
68,-106
69,-100
70,-86
71,-82
72,-86
73,-106
74,-74
75,-70
76,-90
77,-86
78,-100
79,-98
80,-82
81,-98
82,-94
83,-86
84,-86
85,-78
86,-88
87,-106
88,-74
89,-90
90,-106
91,-100
92,-84
93,-70
94,-86
95,-90
96,-94
97,-88
98,-92
99,-90
100,-96
101,-102
102,-82
103,-76
104,-98
105,-102
106,-90
107,-100
108,-90
109,-110
110,-86
111,-94
112,-102
113,-104
114,-66
115,-82
116,-98
117,-110
118,-86
119,-102
120,-100
121,-98
122,-90
123,-78
124,-94
125,-106
126,-102
127,-110
128,-70
129,-94
130,-84
131,-92
132,-74
133,-94
134,-88
135,-86
136,-102
137,-66
138,-90
139,-102
140,-92
141,-96
142,-106
143,-106
144,-94
145,-84
146,-98
147,-82
148,-98
149,-90
