,SMAlegAATr
0,22
1,54
2,26
3,10
4,18
5,34
6,14
7,14
8,30
9,30
10,46
11,46
12,-2
13,30
14,26
15,42
16,12
17,52
18,74
19,-38
20,24
21,80
22,48
23,72
24,4
25,28
26,-28
27,92
28,-8
29,48
30,2
31,114
32,46
33,14
34,70
35,6
36,54
37,6
38,62
39,30
40,4
41,28
42,64
43,8
44,-34
45,62
46,64
47,8
48,2
49,82
50,26
51,42
52,6
53,102
54,86
55,-10
56,-18
57,46
58,56
59,96
60,28
61,20
62,30
63,62
64,54
65,22
66,34
67,34
68,-20
69,68
70,44
71,4
72,82
73,-30
74,10
75,42
76,44
77,52
78,18
79,66
80,46
81,14
82,34
83,66
84,34
85,34
86,92
87,-28
88,6
89,70
90,62
91,30
92,14
93,14
94,90
95,10
96,68
97,44
98,64
99,8
