,CoopPunishOpp,BullyOpp,BullyPunishOpp
0,128,-56,-56
1,128,-56,-58
2,128,-56,-56
3,130,-58,-58
4,128,-58,-56
5,128,-56,-56
6,130,-56,-60
7,126,-56,-56
8,132,-56,-56
9,126,-56,-58
10,128,-58,-58
11,132,-56,-56
12,128,-56,-58
13,126,-56,-56
14,126,-60,-60
15,128,-56,-56
16,128,-58,-56
17,128,-58,-56
18,128,-56,-56
19,126,-56,-58
20,130,-56,-60
21,126,-56,-58
22,128,-56,-60
23,124,-56,-56
24,128,-56,-56
25,134,-58,-58
26,126,-56,-58
27,128,-58,-58
28,128,-58,-56
29,132,-58,-58
30,130,-60,-56
31,128,-58,-58
32,128,-62,-60
33,130,-56,-58
34,130,-56,-58
35,128,-56,-56
36,128,-56,-58
37,130,-56,-56
38,124,-58,-56
39,126,-58,-58
40,126,-56,-56
41,124,-56,-60
42,132,-58,-60
43,130,-56,-56
44,132,-58,-58
45,128,-56,-56
46,128,-56,-58
47,126,-56,-56
48,128,-56,-56
49,130,-56,-56
