,Algaater
0,74
1,74
2,76
3,68
4,-4
5,-12
6,10
7,-6
8,78
9,78
10,50
11,18
12,86
13,86
14,18
15,-14
16,14
17,-2
18,88
19,80
20,60
21,68
22,6
23,22
24,84
25,44
26,-4
27,36
28,78
29,78
30,-4
31,4
32,4
33,-4
34,0
35,-8
36,28
37,68
38,2
39,34
40,80
41,72
42,82
43,66
44,4
45,-4
46,68
47,92
48,0
49,8
50,26
51,58
52,76
53,84
54,80
55,72
56,-8
57,0
58,50
59,18
60,74
61,74
62,74
63,74
64,86
65,86
66,68
67,76
68,48
69,72
70,66
71,66
72,74
73,74
74,8
75,-16
76,-16
77,24
78,2
79,2
80,10
81,-6
82,-10
83,6
84,-16
85,40
86,74
87,90
88,94
89,62
90,64
91,88
92,66
93,34
94,74
95,90
96,80
97,72
98,34
99,34
