,SMAlegAATr
0,14
1,46
2,82
3,34
4,34
5,34
6,50
7,34
8,34
9,34
10,42
11,26
12,2
13,82
14,20
15,60
16,18
17,50
18,34
19,66
20,22
21,54
22,34
23,50
24,70
25,6
26,0
27,40
28,78
29,14
30,134
31,-26
32,38
33,-10
34,-26
35,70
36,66
37,-14
38,58
39,10
40,-6
41,42
42,36
43,44
44,8
45,48
46,50
47,66
48,50
49,66
50,82
51,34
52,-8
53,80
54,70
55,-26
56,-6
57,42
58,42
59,58
60,64
61,8
62,58
63,-22
64,30
65,-2
66,4
67,12
68,100
69,-36
70,-6
71,42
72,36
73,92
74,58
75,-6
76,54
77,54
78,34
79,18
80,36
81,28
82,54
83,70
84,14
85,46
86,-14
87,34
88,50
89,18
90,18
91,34
92,74
93,-6
94,38
95,-26
96,14
97,14
98,58
99,10
