,Algaater
0,108
1,100
2,110
3,110
4,110
5,110
6,102
7,70
8,46
9,62
10,110
11,110
12,110
13,110
14,90
15,42
16,110
17,110
18,110
19,110
20,72
21,96
22,110
23,110
24,66
25,66
26,40
27,64
28,110
29,110
30,100
31,92
32,100
33,108
34,108
35,100
36,96
37,88
38,48
39,56
40,66
41,66
42,110
43,110
44,100
45,108
46,78
47,94
48,78
49,94
50,110
51,110
52,100
53,108
54,110
55,110
56,46
57,62
58,62
59,46
60,110
61,110
62,110
63,110
64,104
65,80
66,92
67,84
68,110
69,110
70,64
71,40
72,110
73,110
74,110
75,110
76,58
77,58
78,64
79,56
80,58
81,58
82,110
83,110
84,108
85,100
86,110
87,110
88,110
89,110
90,52
91,60
92,84
93,92
94,110
95,110
96,74
97,42
98,110
99,110
