,SMAlegAATr
0,-90
1,-72
2,-30
3,-94
4,-70
5,-90
6,84
7,-66
8,-94
9,118
10,-84
11,-52
12,-94
13,-94
14,180
15,-32
16,-54
17,-94
18,90
19,-82
20,-78
21,-76
22,-66
23,-48
24,-22
25,48
26,-92
27,-52
28,-78
29,-28
30,-24
31,-90
32,-46
33,28
34,-36
35,-66
36,-72
37,-66
38,-94
39,-80
40,-40
41,14
42,46
43,-70
44,162
45,-46
46,-94
47,-72
48,136
49,-64
