,S++
0,150
1,-12
2,146
3,150
4,0
5,150
6,150
7,150
8,150
9,146
10,146
11,150
12,-10
13,150
14,146
15,146
16,150
17,146
18,150
19,146
20,150
21,-78
22,150
23,-78
24,-78
25,-84
26,150
27,150
28,146
29,150
30,150
31,146
32,146
33,150
34,150
35,146
36,150
37,150
38,-72
39,150
40,150
41,-48
42,146
43,150
44,150
45,146
46,146
47,150
48,146
49,-82
