,Algaater
0,-72
1,-70
2,-66
3,54
4,54
5,16
6,-64
7,-66
8,-64
9,-68
10,-70
11,-66
12,14
13,-66
14,54
15,52
16,-68
17,-70
18,-68
19,-66
20,18
21,-68
22,54
23,52
24,-66
25,-68
26,54
27,-68
28,-66
29,22
30,-64
31,-66
32,22
33,54
34,20
35,20
36,54
37,54
38,54
39,-70
40,52
41,-68
42,52
43,-76
44,18
45,-70
46,18
47,-68
48,-66
49,-70
