,SMAlegAATr
0,82
1,124
2,124
3,96
4,66
5,122
6,112
7,-34
8,142
9,132
10,190
11,154
12,170
13,138
14,78
15,66
16,110
17,106
18,142
19,124
20,44
21,160
22,78
23,68
24,56
25,80
26,-66
27,62
28,60
29,100
30,120
31,52
32,76
33,90
34,70
35,84
36,54
37,110
38,122
39,158
40,126
41,54
42,104
43,112
44,146
45,76
46,30
47,160
48,128
49,100
