,Algaater
0,-20
1,-12
2,70
3,70
4,60
5,68
6,62
7,46
8,-12
9,-20
10,38
11,54
12,-12
13,-20
14,56
15,48
16,-20
17,-12
18,-10
19,-26
20,60
21,36
22,58
23,58
24,-20
25,-12
26,-12
27,-20
28,-12
29,-20
30,-22
31,-6
32,-18
33,-18
34,-12
35,-20
36,34
37,66
38,56
39,48
40,60
41,36
42,-26
43,-10
44,64
45,56
46,58
47,58
48,62
49,46
50,38
51,54
52,68
53,44
54,-18
55,-18
56,-18
57,-18
58,28
59,52
60,8
61,48
62,38
63,54
64,-18
65,-18
66,-18
67,-18
68,-12
69,-20
70,-12
71,-20
72,-20
73,-12
74,38
75,54
76,-20
77,-12
78,-20
79,-12
80,-12
81,-20
82,-18
83,-18
84,-8
85,-32
86,-16
87,-24
88,-12
89,-20
90,12
91,20
92,-20
93,-12
94,-12
95,-20
96,68
97,44
98,-24
99,-16
