,S++
0,10
1,-38
2,-36
3,-86
4,-10
5,-42
6,-90
7,24
8,-4
9,-94
10,-94
11,-92
12,-92
13,-18
14,-16
15,-96
16,-48
17,10
18,20
19,-84
20,-86
21,-82
22,24
23,-86
24,-28
25,-94
26,-90
27,-58
28,42
29,-86
30,14
31,-14
32,-36
33,-86
34,-60
35,-76
36,-4
37,-34
38,-10
39,34
40,4
41,-88
42,-24
43,-84
44,14
45,-98
46,-10
47,-24
48,22
49,-14
